Time,SSS-RSRP,SSS-RePower
09:04.0,-125.7,-118.8
09:05.3,-127.7,-111
09:08.9,-133.6,-120.7
09:12.1,-118.6,-113.8
09:12.2,-121.6,-113.8
09:12.9,-123.3,-115.9
09:19.1,-128.1,-114.2
09:23.1,-120.4,-117.4
09:23.2,-123.8,-114.2
09:23.3,-125.5,-116.9
09:30.6,-137.4,-119.8
09:30.6,-124.1,-116.2
09:30.7,-118.4,-115.5
09:33.8,-133.5,-108.8
09:39.0,-134.5,-117.1
09:39.1,-116.6,-114.8
09:40.5,-134.3,-116.1
09:47.6,-128.3,-114.3
09:47.7,-127.1,-115.8
09:49.4,-126.9,-116.1
09:58.2,-132.3,-117.1
09:58.3,-119.3,-115.3
10:03.8,-125.3,-116.3
10:08.7,-123.5,-116.8
10:08.8,-134.6,-114.3
10:20.2,-130.3,-114
10:20.3,-132.1,-112.1
10:21.4,-120.9,-114.8
10:30.0,-132,-104.5
10:30.0,-131.7,-108.3
10:30.1,-131.8,-101.4
10:40.9,-126.5,-110.4
10:46.4,-118,-88.1
10:46.4,-114.4,-106.6
10:46.5,-117.7,-104.2
10:58.2,-112.9,-107.5
10:59.3,-102.4,-96.6
10:59.3,-116.4,-104.1
11:00.6,-115.8,-100.4
11:10.1,-109.2,-103.6
11:10.1,-129.1,-105.6
11:10.2,-104.3,-105.2
11:10.2,-109,-105.2
11:10.5,-110.3,-105.8
11:19.4,-134,-107.2
11:19.4,-121.6,-104.4
11:19.5,-132.3,-104.6
11:19.5,-110.2,-104.8
11:20.9,-106.4,-98.7
11:29.0,-102,-103.3
11:34.7,-115.5,-109.2
11:34.8,-121.4,-116.7
11:34.9,-122.8,-115.9
11:43.8,-129.3,-119.6
11:43.9,-120.8,-115.5
11:56.0,-132.5,-118.7
11:56.1,-126.4,-115
11:56.2,-126.9,-119.1
12:00.4,-133.7,-118.5
12:09.7,-135.9,-119.4
12:09.8,-124.5,-119.5
12:18.0,-132.3,-109.2
12:24.9,-133.6,-119.9
12:25.0,-127.5,-119.8
12:33.1,-108.3,-108.6
12:39.7,-138.1,-120.4
12:43.7,-132.2,-120.6
12:56.1,-128.8,-121.4
13:00.6,-99.8,-99.9
13:09.0,-106.6,-105.3
13:16.5,-139,-123
13:20.8,-137.2,-122.4
13:32.3,-134.2,-121.2
13:32.5,-137.4,-114.2
13:40.6,-127.8,-119.8
13:40.7,-131.4,-119.9
13:51.9,-126.7,-118.8
13:52.1,-139.4,-121.8
14:04.4,-131.7,-122.3
14:04.5,-138.8,-122.5
14:15.4,-116.3,-111.5
14:17.5,-135.1,-120.5
14:17.6,-138.9,-120.5
14:28.4,-135.4,-119.7
14:28.5,-129.1,-121.3
14:30.6,-135.2,-122.6
14:38.9,-132.9,-118
14:49.4,-130.6,-117.8
14:49.5,-126,-117.5
15:01.5,-111.6,-111.6
15:01.9,-106.2,-106.2
15:15.7,-124,-116.5
15:15.8,-127.5,-116.5
15:26.2,-132.3,-111.2
15:30.4,-136.6,-119.6
15:30.5,-133.8,-118.1
15:40.6,-129.2,-119.7
15:40.8,-126.1,-116.8
15:45.4,-126.2,-118.2
15:52.9,-127.3,-117
15:53.0,-122.9,-118
15:57.7,-110.8,-109.5
16:08.1,-111.4,-114.1
16:08.2,-137.3,-120.7
16:20.5,-126.9,-118.7
16:20.6,-131,-118.7
16:30.3,-132,-118.4
16:38.3,-127.6,-117.9
16:43.4,-134.8,-120.6
16:47.7,-127,-117.4
16:59.5,-118.9,-114.9
17:04.9,-132.7,-119.1
21:57.8,-125.5,-121.8
22:12.5,-130.1,-120.5
22:32.3,-126.1,-116.7
22:34.3,-121.7,-117.8
22:45.8,-128,-118.4
22:50.4,-128.5,-119.9
22:52.1,-126.2,-119
23:00.5,-129.1,-120.6
23:10.1,-130.6,-119.3
23:10.2,-135.6,-121.9
23:10.6,-134.1,-118.2
23:16.4,-114.9,-114.4
23:20.8,-130.6,-116.2
23:20.9,-133.8,-116.2
23:27.1,-128.2,-116.2
23:28.2,-137.7,-121.3
23:28.2,-133.9,-121.4
23:28.9,-114.2,-113.5
23:31.4,-138.6,-122.8
23:38.3,-120.2,-115.7
23:41.9,-128.9,-118.4
23:41.9,-137.4,-121.8
23:42.0,-134.6,-119.5
23:42.1,-138.3,-120.6
23:46.8,-132.9,-120.5
23:50.3,-135.5,-122.3
23:50.4,-140.2,-122.6
23:53.5,-131.7,-119.2
23:59.6,-130,-121.6
24:11.3,-132.2,-120.8
24:23.6,-139.5,-122.4
24:32.1,-132.6,-120.1
24:36.9,-130.8,-116.4
24:46.9,-140.4,-123.7
24:54.4,-139,-124.1
25:07.1,-132.4,-120
25:07.3,-129.3,-122.3
25:10.7,-138.3,-123.4
25:18.4,-135.6,-123.2
25:18.6,-134.8,-123.1
25:23.6,-130.9,-122.8
25:30.6,-142,-123.8
25:37.6,-134,-123.7
25:45.6,-142.2,-124
25:57.3,-128.1,-115.8
26:21.0,-127.2,-115.7
26:38.4,-121.2,-116.5
26:51.2,-133,-111.7
27:03.7,-120.3,-102
27:04.3,-98.5,-100.5
27:14.1,-129.1,-109.9
27:14.3,-113,-111
27:22.7,-111.3,-109.3
27:25.5,-115,-112.9
27:26.0,-133.5,-116.9
27:30.9,-114.3,-112.3
27:34.0,-108.5,-108
27:34.2,-130.7,-106.4
27:39.0,-125.8,-107.2
27:42.7,-135.3,-109.9
27:42.8,-108.3,-108.7
27:46.3,-117.7,-113.3
27:51.9,-108,-106.5
27:52.0,-119.4,-116.1
27:55.5,-120.9,-117.4
28:01.6,-131.8,-107
28:02.7,-138.7,-118.7
28:02.8,-106.1,-107.3
28:07.1,-116.9,-113.8
28:10.0,-116.8,-116.4
28:14.6,-124,-118.8
28:14.7,-136.8,-117.9
28:17.3,-113,-111.7
28:21.1,-115.8,-114.1
28:25.1,-108.6,-106.4
28:26.1,-125.9,-116.1
28:26.2,-128.4,-113.9
28:30.3,-130.8,-107.5
28:34.1,-100.5,-95.4
28:36.4,-127,-99.7
28:36.5,-120.6,-103.9
28:38.6,-97,-93.7
28:42.9,-117.4,-105
28:48.0,-104.9,-98.8
28:49.0,-118.9,-82.6
28:49.1,-121.1,-97.6
28:51.3,-99.7,-95.8
28:55.4,-105,-91.2
